pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,France,FRA,810,812,-2.00,
2,Brazil,BRA,799,808,-9.00,
3,Argentina,ARG,794,783,11.00,
4,Italy,ITA,737,733,4.00,
5,Portugal,POR,732,714,18.00,up
6,Spain,ESP,730,716,14.00,up
7,Colombia,COL,719,723,-4.00,down
8,Netherlands,NED,717,705,12.00,up
9,England,ENG,712,675,37.00,up
10,Mexico,MEX,711,702,9.00,up
11,Paraguay,PAR,710,703,7.00,
12,Germany,GER,708,725,-17.00,down
13,Yugoslavia,YUG,705,691,14.00,
14,Czech Republic,CZE,704,716,-12.00,down
15,Romania,ROU,695,687,8.00,down
16,Croatia,CRO,674,666,8.00,up
17,Sweden,SWE,673,661,12.00,up
18,Denmark,DEN,664,663,1.00,
19,USA,USA,660,670,-10.00,down
20,Honduras,HON,656,643,13.00,up
21,Uruguay,URU,653,642,11.00,up
22,Republic of Ireland,IRL,653,638,15.00,up
23,Norway,NOR,650,648,2.00,down
24,Russia,RUS,648,652,-4.00,down
25,Tunisia,TUN,645,646,-1.00,down
26,Belgium,BEL,643,622,21.00,up
27,Poland,POL,634,638,-4.00,down
28,Japan,JPN,633,634,-1.00,down
29,Costa Rica,CRC,630,621,9.00,up
30,South Africa,RSA,628,629,-1.00,down
31,Slovenia,SVN,622,595,27.00,up
32,Morocco,MAR,621,624,-3.00,down
33,Ukraine,UKR,617,583,34.00,up
34,Turkey,TUR,616,612,4.00,down
35,Saudi Arabia,KSA,615,609,6.00,up
36,Trinidad and Tobago,TRI,615,619,-4.00,down
37,Chile,CHI,612,609,3.00,down
38,IR Iran,IRN,610,585,25.00,up
39,Cameroon,CMR,608,608,0.00,down
40,Nigeria,NGA,604,610,-6.00,down
41,Egypt,EGY,604,602,2.00,down
42,Slovakia,SVK,598,601,-3.00,down
43,Korea Republic,KOR,597,596,1.00,down
44,Peru,PER,594,596,-2.00,down
45,Côte d'Ivoire,CIV,593,589,4.00,
46,Ecuador,ECU,591,583,8.00,up
47,Israel,ISR,590,596,-6.00,down
48,Bulgaria,BUL,586,581,5.00,up
49,Scotland,SCO,586,602,-16.00,down
50,Austria,AUT,585,581,4.00,down
51,Australia,AUS,578,578,0.00,
52,Finland,FIN,576,552,24.00,up
53,Iceland,ISL,576,552,24.00,up
54,Jamaica,JAM,567,576,-9.00,down
55,Angola,ANG,563,558,5.00,down
56,Switzerland,SUI,563,549,14.00,up
57,Ghana,GHA,552,550,2.00,up
58,Zambia,ZAM,551,551,0.00,
59,Georgia,GEO,548,510,38.00,up
60,China PR,CHN,548,529,19.00,up
61,Greece,GRE,548,552,-4.00,down
62,Guatemala,GUA,548,546,2.00,down
63,Thailand,THA,543,543,0.00,down
64,Hungary,HUN,540,557,-17.00,down
65,Uzbekistan,UZB,537,523,14.00,up
66,United Arab Emirates,UAE,532,529,3.00,down
67,Zimbabwe,ZIM,529,526,3.00,down
68,Togo,TOG,526,522,4.00,
69,Senegal,SEN,525,525,0.00,down
70,Liberia,LBR,512,514,-2.00,
71,Congo DR,COD,511,512,-1.00,
72,Iraq,IRQ,509,518,-9.00,down
73,Algeria,ALG,508,507,1.00,
74,Burkina Faso,BFA,506,506,0.00,up
75,Cuba,CUB,505,504,1.00,up
76,Bosnia and Herzegovina,BIH,505,502,3.00,up
77,Kuwait,KUW,505,505,0.00,down
78,Bolivia,BOL,501,501,0.00,up
79,Cyprus,CYP,499,507,-8.00,down
80,FYR Macedonia,MKD,494,489,5.00,up
81,Estonia,EST,491,492,-1.00,down
82,Belarus,BLR,487,474,13.00,up
83,Qatar,QAT,484,474,10.00,up
84,Canada,CAN,483,489,-6.00,down
85,Haiti,HAI,482,481,1.00,down
86,El Salvador,SLV,478,475,3.00,down
87,New Zealand,NZL,477,477,0.00,down
88,Albania,ALB,472,474,-2.00,down
89,Indonesia,IDN,471,471,0.00,
90,Congo,CGO,459,458,1.00,up
91,Oman,OMA,456,461,-5.00,
92,Lithuania,LTU,456,450,6.00,up
93,Syria,SYR,454,454,0.00,
94,Latvia,LVA,449,450,-1.00,
95,Lebanon,LBN,448,443,5.00,up
96,Armenia,ARM,448,449,-1.00,
97,Northern Ireland,NIR,446,411,35.00,up
98,Namibia,NAM,446,447,-1.00,down
99,Gabon,GAB,443,468,-25.00,down
100,Moldova,MDA,440,422,18.00,up
101,Jordan,JOR,440,440,0.00,down
102,Vietnam,VIE,438,437,1.00,down
103,Guinea,GUI,438,444,-6.00,down
104,Venezuela,VEN,435,400,35.00,up
105,Wales,WAL,428,415,13.00,
106,Kenya,KEN,423,423,0.00,down
107,Kazakhstan,KAZ,421,421,0.00,down
108,Barbados,BRB,415,413,2.00,down
109,Singapore,SIN,406,407,-1.00,down
110,Malaysia,MAS,405,405,0.00,down
111,Panama,PAN,394,392,2.00,
112,Bahrain,BHR,390,379,11.00,up
113,Azerbaijan,AZE,389,384,5.00,up
114,Mali,MLI,383,391,-8.00,down
115,Turkmenistan,TKM,382,380,2.00,up
116,Libya,LBY,381,380,1.00,down
117,Uganda,UGA,379,387,-8.00,down
118,Faroe Islands,FRO,373,364,9.00,up
119,Sudan,SDN,369,365,4.00,up
120,India,IND,367,368,-1.00,down
121,Malawi,MWI,364,367,-3.00,down
122,Madagascar,MAD,361,366,-5.00,down
123,Fiji,FIJ,349,349,0.00,up
124,Mozambique,MOZ,347,350,-3.00,down
125,Mauritius,MRI,344,341,3.00,
126,Tahiti,TAH,336,336,0.00,
127,Lesotho,LES,333,331,2.00,
128,St. Vincent and the Grenadines,VIN,333,330,3.00,
129,St. Kitts and Nevis,SKN,329,329,0.00,
130,St. Lucia,LCA,327,327,0.00,
131,Eswatini,SWZ,323,323,0.00,
132,Malta,MLT,319,310,9.00,up
133,Grenada,GRN,311,311,0.00,down
134,Solomon Islands,SOL,309,309,0.00,up
135,Hong Kong,HKG,308,309,-1.00,down
136,Burundi,BDI,301,305,-4.00,up
137,Yemen,YEM,295,295,0.00,up
138,Korea DPR,PRK,294,294,0.00,up
139,Sierra Leone,SLE,290,309,-19.00,down
140,Rwanda,RWA,283,285,-2.00,
141,Myanmar,MYA,268,276,-8.00,
142,Suriname,SUR,268,268,0.00,
143,Tajikistan,TJK,266,268,-2.00,
144,Andorra,AND,263,256,7.00,up
145,Luxembourg,LUX,256,260,-4.00,down
