pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,66,65,1.00,
2,Italy,ITA,62,63,-1.00,
3,Sweden,SWE,62,61,1.00,
4,Germany,GER,61,61,0.00,
5,Netherlands,NED,61,61,0.00,
6,Spain,ESP,60,60,0.00,
7,Romania,ROU,58,58,0.00,
8,Norway,NOR,57,58,-1.00,
9,Argentina,ARG,57,57,0.00,
10,Nigeria,NGA,56,56,0.00,
11,Switzerland,SUI,56,56,0.00,
12,Republic of Ireland,IRL,54,54,0.00,up
13,Denmark,DEN,53,55,-2.00,down
14,Bulgaria,BUL,53,53,0.00,
15,Colombia,COL,53,53,0.00,up
16,Mexico,MEX,52,53,-1.00,down
17,Russia,RUS,52,52,0.00,up
18,England,ENG,51,52,-1.00,
19,Belgium,BEL,51,50,1.00,up
20,France,FRA,50,53,-3.00,down
21,Zambia,ZAM,49,48,1.00,
22,USA,USA,48,48,0.00,
23,Côte d'Ivoire,CIV,47,45,2.00,up
24,Portugal,POR,46,45,1.00,up
25,Egypt,EGY,45,45,0.00,up
26,Ghana,GHA,44,43,1.00,up
27,Tunisia,TUN,43,42,1.00,up
28,Cameroon,CMR,43,44,-1.00,down
29,Saudi Arabia,KSA,43,43,0.00,
30,Morocco,MAR,42,43,-1.00,
31,Scotland,SCO,42,40,2.00,up
32,Greece,GRE,42,40,2.00,up
33,Poland,POL,40,41,-1.00,down
34,Wales,WAL,40,39,1.00,up
35,Czech Republic,CZE,40,35,5.00,up
36,Uruguay,URU,39,47,-8.00,down
37,Iceland,ISL,39,35,4.00,up
38,Korea Republic,KOR,39,39,0.00,down
39,Turkey,TUR,38,31,7.00,up
40,Austria,AUT,38,38,0.00,down
41,Japan,JPN,37,38,-1.00,down
42,Slovakia,SVK,36,35,1.00,up
43,Chile,CHI,36,36,0.00,down
44,Bolivia,BOL,36,36,0.00,down
45,Northern Ireland,NIR,35,37,-2.00,down
46,Zimbabwe,ZIM,35,34,1.00,up
47,Finland,FIN,35,34,1.00,down
48,Israel,ISR,34,32,2.00,up
49,Mali,MLI,33,33,0.00,up
50,Algeria,ALG,32,34,-2.00,down
51,Honduras,HON,32,32,0.00,
52,Australia,AUS,32,34,-2.00,down
53,Ecuador,ECU,32,34,-2.00,down
54,Hungary,HUN,32,31,1.00,up
55,Senegal,SEN,31,31,0.00,up
56,Costa Rica,CRC,31,31,0.00,down
57,Canada,CAN,30,31,-1.00,down
58,Lithuania,LTU,28,18,10.00,up
59,United Arab Emirates,UAE,28,26,2.00,
60,Zaire,ZAI,26,26,0.00,
61,Guinea,GUI,26,26,0.00,
62,China PR,CHN,24,24,0.00,
63,IR Iran,IRN,24,24,0.00,
64,Sierra Leone,SLE,24,24,0.00,up
65,Peru,PER,24,22,2.00,up
66,Malta,MLT,24,23,1.00,up
67,South Africa,RSA,24,21,3.00,up
68,El Salvador,SLV,23,23,0.00,down
69,Slovenia,SVN,23,21,2.00,up
70,Latvia,LVA,23,18,5.00,up
71,Qatar,QAT,23,23,0.00,down
72,Cyprus,CYP,23,22,1.00,down
73,Croatia,CRO,23,16,7.00,up
74,Niger,NIG,23,20,3.00,up
75,Gabon,GAB,23,24,-1.00,down
76,Iraq,IRQ,23,23,0.00,down
77,Korea DPR,PRK,23,23,0.00,down
78,Kuwait,KUW,22,22,0.00,down
79,Ukraine,UKR,21,20,1.00,
80,Oman,OMA,20,20,0.00,down
81,Paraguay,PAR,20,27,-7.00,down
82,Thailand,THA,19,19,0.00,down
83,Yugoslavia,YUG,18,20,-2.00,down
84,Malawi,MWI,18,18,0.00,up
85,Trinidad and Tobago,TRI,18,19,-1.00,down
86,Jamaica,JAM,18,19,-1.00,down
86,Kenya,KEN,18,19,-1.00,down
88,Singapore,SIN,18,18,0.00,down
89,Tanzania,TAN,17,13,4.00,up
90,Burkina Faso,BFA,16,13,3.00,up
91,Bermuda,BER,16,17,-1.00,down
92,Bahrain,BHR,15,15,0.00,down
93,New Zealand,NZL,15,17,-2.00,down
94,Malaysia,MAS,15,15,0.00,down
95,Suriname,SUR,15,15,0.00,down
96,Syria,SYR,14,14,0.00,
97,Venezuela,VEN,14,14,0.00,down
98,Barbados,BRB,14,14,0.00,down
99,Jordan,JOR,14,14,0.00,down
100,Georgia,GEO,13,8,5.00,up
101,Gambia,GAM,13,12,1.00,up
102,Albania,ALB,13,13,0.00,down
103,Madagascar,MAD,13,13,0.00,down
104,Puerto Rico,PUR,12,12,0.00,down
105,FYR Macedonia,MKD,12,10,2.00,up
106,Mozambique,MOZ,12,12,0.00,up
107,Ethiopia,ETH,12,11,1.00,up
108,Fiji,FIJ,12,14,-2.00,down
109,Yemen,YEM,12,12,0.00,down
110,Hong Kong,HKG,12,12,0.00,down
111,Angola,ANG,12,9,3.00,up
112,Congo,CGO,11,11,0.00,down
113,India,IND,11,12,-1.00,down
114,Togo,TOG,11,9,2.00,up
115,Burundi,BDI,11,11,0.00,down
116,Estonia,EST,11,11,0.00,down
117,Eswatini,SWZ,11,11,0.00,down
118,Uganda,UGA,11,12,-1.00,down
119,Guinea-Bissau,GNB,11,10,1.00,down
120,Luxembourg,LUX,10,10,0.00,down
121,Lebanon,LBN,10,10,0.00,down
122,Myanmar,MYA,9,9,0.00,down
123,Antigua and Barbuda,ATG,9,9,0.00,down
124,Haiti,HAI,9,9,0.00,down
125,Sudan,SDN,9,7,2.00,up
126,Liberia,LBR,8,6,2.00,up
127,Indonesia,IDN,8,8,0.00,down
128,Faroe Islands,FRO,8,8,0.00,down
129,Bangladesh,BAN,8,8,0.00,down
130,Belarus,BLR,8,4,4.00,up
