pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,839,840,-1.00,
2,Czech Republic,CZE,796,796,0.00,
3,Netherlands,NED,790,791,-1.00,
4,Argentina,ARG,772,772,0.00,
5,Spain,ESP,768,768,0.00,
5,France,FRA,768,768,0.00,
7,Mexico,MEX,767,768,-1.00,down
7,USA,USA,767,767,0.00,up
9,England,ENG,757,757,0.00,
10,Portugal,POR,753,754,-1.00,
11,Turkey,TUR,748,748,0.00,
12,Italy,ITA,741,741,0.00,
13,Denmark,DEN,733,733,0.00,
14,Sweden,SWE,731,732,-1.00,
15,Japan,JPN,714,715,-1.00,
16,Greece,GRE,708,708,0.00,
17,Germany,GER,707,708,-1.00,down
18,Uruguay,URU,705,706,-1.00,
19,IR Iran,IRN,703,703,0.00,
20,Croatia,CRO,701,701,0.00,
21,Costa Rica,CRC,700,699,1.00,
22,Poland,POL,695,696,-1.00,
23,Cameroon,CMR,694,695,-1.00,
24,Colombia,COL,692,692,0.00,
24,Nigeria,NGA,692,692,0.00,
26,Republic of Ireland,IRL,691,692,-1.00,down
27,Romania,ROU,686,686,0.00,
28,Tunisia,TUN,685,685,0.00,
29,Korea Republic,KOR,680,680,0.00,
30,Paraguay,PAR,672,672,0.00,
30,Senegal,SEN,672,672,0.00,
32,Egypt,EGY,666,665,1.00,
33,Saudi Arabia,KSA,663,663,0.00,
34,Russia,RUS,661,662,-1.00,
35,Morocco,MAR,660,655,5.00,up
36,Switzerland,SUI,655,656,-1.00,down
37,Norway,NOR,649,649,0.00,up
38,Ecuador,ECU,647,651,-4.00,down
39,Bulgaria,BUL,638,638,0.00,
40,Ukraine,UKR,629,630,-1.00,
41,Honduras,HON,628,628,0.00,
42,Côte d'Ivoire,CIV,626,626,0.00,
42,Jamaica,JAM,626,626,0.00,
44,Israel,ISR,621,622,-1.00,
44,Slovakia,SVK,621,621,0.00,up
46,Finland,FIN,614,614,0.00,
47,Serbia and Montenegro,SCG,612,612,0.00,
48,Australia,AUS,610,610,0.00,
49,South Africa,RSA,609,609,0.00,
50,Ghana,GHA,608,608,0.00,
50,Trinidad and Tobago,TRI,608,608,0.00,
52,Bahrain,BHR,603,603,0.00,
53,Zimbabwe,ZIM,599,601,-2.00,
54,Iraq,IRQ,597,597,0.00,
55,Belgium,BEL,595,596,-1.00,
56,Guatemala,GUA,585,585,0.00,
56,Togo,TOG,585,585,0.00,
58,Zambia,ZAM,584,579,5.00,
59,Uzbekistan,UZB,573,573,0.00,
60,Scotland,SCO,572,572,0.00,
61,Belarus,BLR,570,570,0.00,
62,Mali,MLI,569,569,0.00,up
63,Angola,ANG,568,570,-2.00,down
64,Bosnia and Herzegovina,BIH,561,561,0.00,up
64,Chile,CHI,561,562,-1.00,
66,Peru,PER,560,560,0.00,
66,Latvia,LVA,560,550,10.00,up
68,Venezuela,VEN,555,555,0.00,down
69,Slovenia,SVN,553,553,0.00,down
70,Hungary,HUN,552,547,5.00,up
71,Austria,AUT,550,550,0.00,down
72,Wales,WAL,549,549,0.00,down
73,China PR,CHN,547,548,-1.00,down
73,Kuwait,KUW,547,548,-1.00,down
75,Cuba,CUB,546,546,0.00,
76,Estonia,EST,543,543,0.00,
77,Guinea,GUI,541,531,10.00,up
78,Congo DR,COD,536,541,-5.00,down
78,Panama,PAN,536,536,0.00,
80,Algeria,ALG,522,522,0.00,
80,Libya,LBY,522,522,0.00,
82,Korea DPR,PRK,520,517,3.00,
83,Albania,ALB,517,517,0.00,down
84,Canada,CAN,511,512,-1.00,
85,United Arab Emirates,UAE,509,509,0.00,
86,Jordan,JOR,503,503,0.00,
87,Burkina Faso,BFA,502,502,0.00,
87,FYR Macedonia,MKD,502,502,0.00,
89,Qatar,QAT,493,478,15.00,up
90,Kenya,KEN,487,488,-1.00,down
90,Rwanda,RWA,487,488,-1.00,down
92,Oman,OMA,483,484,-1.00,down
92,Singapore,SIN,483,483,0.00,
92,Sudan,SDN,483,483,0.00,
95,Iceland,ISL,482,482,0.00,down
