pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,France,FRA,812,810,2.00,
2,Brazil,BRA,808,795,13.00,
3,Argentina,ARG,783,764,19.00,
4,Italy,ITA,733,735,-2.00,
5,Germany,GER,725,726,-1.00,
6,Colombia,COL,723,682,41.00,up
7,Czech Republic,CZE,716,709,7.00,up
8,Spain,ESP,716,715,1.00,down
9,Portugal,POR,714,712,2.00,down
10,Netherlands,NED,705,695,10.00,
11,Paraguay,PAR,703,711,-8.00,down
12,Mexico,MEX,702,687,15.00,up
13,Yugoslavia,YUG,691,688,3.00,down
14,Romania,ROU,687,689,-2.00,down
15,England,ENG,675,682,-7.00,
16,USA,USA,670,672,-2.00,
17,Croatia,CRO,666,668,-2.00,up
18,Denmark,DEN,663,670,-7.00,down
19,Sweden,SWE,661,659,2.00,
20,Russia,RUS,652,658,-6.00,
21,Norway,NOR,648,654,-6.00,
22,Tunisia,TUN,646,647,-1.00,
23,Honduras,HON,643,578,65.00,up
24,Uruguay,URU,642,620,22.00,up
25,Republic of Ireland,IRL,638,640,-2.00,down
26,Poland,POL,638,638,0.00,down
27,Japan,JPN,634,614,20.00,up
28,South Africa,RSA,629,633,-4.00,down
29,Morocco,MAR,624,621,3.00,down
30,Belgium,BEL,622,631,-9.00,down
31,Costa Rica,CRC,621,610,11.00,up
32,Trinidad and Tobago,TRI,619,622,-3.00,down
33,Turkey,TUR,612,608,4.00,up
34,Nigeria,NGA,610,599,11.00,up
35,Chile,CHI,609,619,-10.00,down
36,Saudi Arabia,KSA,609,621,-12.00,down
37,Cameroon,CMR,608,609,-1.00,down
38,Egypt,EGY,602,602,0.00,
39,Scotland,SCO,602,606,-4.00,down
40,Slovakia,SVK,601,608,-7.00,down
41,Israel,ISR,596,586,10.00,up
42,Korea Republic,KOR,596,599,-3.00,down
43,Peru,PER,596,560,36.00,up
44,Slovenia,SVN,595,599,-4.00,down
45,Côte d'Ivoire,CIV,589,594,-5.00,down
46,IR Iran,IRN,585,566,19.00,up
47,Ecuador,ECU,583,571,12.00,up
48,Ukraine,UKR,583,579,4.00,down
49,Austria,AUT,581,592,-11.00,down
