pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,819,825,-6.00,
2,France,FRA,808,808,0.00,
3,Argentina,ARG,749,744,5.00,up
4,Czech Republic,CZE,745,753,-8.00,down
5,Spain,ESP,743,744,-1.00,down
6,Italy,ITA,729,732,-3.00,
7,Portugal,POR,716,717,-1.00,
8,Netherlands,NED,710,713,-3.00,
9,Norway,NOR,705,708,-3.00,up
10,Yugoslavia,YUG,704,705,-1.00,up
11,Germany,GER,700,711,-11.00,down
12,Romania,ROU,695,701,-6.00,
13,England,ENG,689,691,-2.00,up
14,Mexico,MEX,688,698,-10.00,down
15,Croatia,CRO,687,694,-7.00,down
16,Paraguay,PAR,655,642,13.00,up
17,Colombia,COL,648,650,-2.00,
18,Denmark,DEN,639,653,-14.00,down
19,Sweden,SWE,638,645,-7.00,down
20,South Africa,RSA,629,624,5.00,up
21,USA,USA,627,639,-12.00,down
22,Chile,CHI,625,625,0.00,
23,Scotland,SCO,625,629,-4.00,down
24,Morocco,MAR,609,607,2.00,up
25,Russia,RUS,606,616,-10.00,down
26,Tunisia,TUN,606,605,1.00,up
27,Slovakia,SVK,598,606,-8.00,down
28,Belgium,BEL,596,599,-3.00,
29,Trinidad and Tobago,TRI,586,567,19.00,up
30,Turkey,TUR,586,588,-2.00,down
31,Egypt,EGY,581,579,2.00,up
32,Greece,GRE,581,583,-2.00,down
33,Cameroon,CMR,580,571,9.00,up
34,Ukraine,UKR,580,584,-4.00,down
35,Israel,ISR,572,583,-11.00,down
36,Uruguay,URU,572,569,3.00,down
37,Korea Republic,KOR,565,567,-2.00,up
38,IR Iran,IRN,561,561,0.00,up
39,Republic of Ireland,IRL,561,563,-2.00,
40,Zambia,ZAM,561,558,3.00,up
41,Slovenia,SVN,559,559,0.00,up
42,Austria,AUT,554,568,-14.00,down
43,Peru,PER,554,550,4.00,up
44,Poland,POL,548,559,-11.00,down
45,Côte d'Ivoire,CIV,547,532,15.00,up
46,Jamaica,JAM,543,508,35.00,up
47,Angola,ANG,539,545,-6.00,down
48,Japan,JPN,535,541,-6.00,down
49,Honduras,HON,534,528,6.00,up
50,Ghana,GHA,531,525,6.00,up
51,Iceland,ISL,530,518,12.00,up
52,Bulgaria,BUL,529,538,-9.00,down
53,Hungary,HUN,528,529,-1.00,down
54,Finland,FIN,526,528,-2.00,down
55,Nigeria,NGA,521,525,-4.00,down
56,Canada,CAN,518,521,-3.00,down
57,Saudi Arabia,KSA,517,536,-19.00,down
58,Thailand,THA,514,510,4.00,up
59,United Arab Emirates,UAE,514,516,-2.00,down
60,Guatemala,GUA,513,490,23.00,up
61,Costa Rica,CRC,512,486,26.00,up
62,Switzerland,SUI,507,510,-3.00,down
63,Cyprus,CYP,502,503,-1.00,down
64,Uzbekistan,UZB,501,507,-6.00,down
65,Ecuador,ECU,500,495,5.00,up
66,Australia,AUS,497,502,-5.00,down
67,Congo DR,COD,496,482,14.00,up
68,Georgia,GEO,495,498,-3.00,down
69,Kuwait,KUW,495,480,15.00,up
70,Bolivia,BOL,494,478,16.00,up
71,Lithuania,LTU,494,502,-8.00,down
72,Zimbabwe,ZIM,483,477,6.00,up
73,China PR,CHN,476,487,-11.00,down
74,Guinea,GUI,469,450,19.00,up
75,Burkina Faso,BFA,467,457,10.00,up
76,Cuba,CUB,467,468,-1.00,down
77,Algeria,ALG,462,465,-3.00,down
78,Namibia,NAM,462,446,16.00,up
79,Estonia,EST,461,462,-1.00,down
80,Latvia,LVA,457,466,-9.00,down
81,Senegal,SEN,456,454,2.00,down
82,Bosnia and Herzegovina,BIH,452,453,-1.00,down
83,Haiti,HAI,449,452,-3.00,down
84,FYR Macedonia,MKD,447,451,-4.00,down
85,El Salvador,SLV,443,435,8.00,up
86,Mali,MLI,443,447,-4.00,down
87,Iraq,IRQ,442,452,-10.00,down
88,Armenia,ARM,441,441,0.00,up
89,Togo,TOG,441,445,-4.00,down
90,Albania,ALB,439,440,-1.00,
91,Gabon,GAB,439,438,1.00,
