pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,73,72,1.00,
2,Germany,GER,65,65,0.00,
3,Czech Republic,CZE,65,62,3.00,up
4,England,ENG,61,61,0.00,up
5,Mexico,MEX,61,60,1.00,up
6,France,FRA,60,60,0.00,up
7,Romania,ROU,60,62,-2.00,down
8,Denmark,DEN,60,60,0.00,
9,Italy,ITA,60,60,0.00,up
10,Colombia,COL,59,60,-1.00,down
11,Spain,ESP,59,63,-4.00,down
12,Russia,RUS,58,58,0.00,up
13,Norway,NOR,58,58,0.00,up
14,Japan,JPN,58,58,0.00,up
15,Morocco,MAR,58,58,0.00,up
16,Chile,CHI,58,58,0.00,up
17,Argentina,ARG,58,57,1.00,up
18,Sweden,SWE,57,58,-1.00,down
19,Croatia,CRO,57,56,1.00,up
20,Yugoslavia,YUG,57,56,1.00,up
21,Zambia,ZAM,57,56,1.00,down
22,Netherlands,NED,56,59,-3.00,down
23,Tunisia,TUN,56,56,0.00,
24,Bolivia,BOL,55,55,0.00,up
25,Austria,AUT,55,55,0.00,up
26,USA,USA,54,54,0.00,up
27,Korea Republic,KOR,54,53,1.00,up
28,Ecuador,ECU,54,54,0.00,
29,Paraguay,PAR,54,54,0.00,up
30,Portugal,POR,53,54,-1.00,down
31,South Africa,RSA,53,53,0.00,up
32,Egypt,EGY,53,51,2.00,up
33,Saudi Arabia,KSA,53,53,0.00,up
34,Slovakia,SVK,53,53,0.00,down
35,Australia,AUS,53,53,0.00,down
36,Bulgaria,BUL,52,55,-3.00,down
37,Scotland,SCO,52,52,0.00,down
38,Peru,PER,52,51,1.00,
39,Jamaica,JAM,52,51,1.00,
40,Uruguay,URU,51,49,2.00,up
41,Belgium,BEL,50,50,0.00,
42,Greece,GRE,50,50,0.00,down
43,Turkey,TUR,49,50,-1.00,down
44,Kuwait,KUW,48,47,1.00,up
45,Lithuania,LTU,47,47,0.00,down
46,IR Iran,IRN,47,46,1.00,up
47,Republic of Ireland,IRL,47,47,0.00,down
48,Poland,POL,46,46,0.00,down
49,Ukraine,UKR,46,46,0.00,
50,United Arab Emirates,UAE,46,44,2.00,up
51,Costa Rica,CRC,46,45,1.00,up
52,Côte d'Ivoire,CIV,46,46,0.00,down
53,Cameroon,CMR,45,46,-1.00,down
54,Thailand,THA,45,44,1.00,up
55,China PR,CHN,45,44,1.00,up
56,Trinidad and Tobago,TRI,45,44,1.00,up
57,Ghana,GHA,45,45,0.00,down
58,Angola,ANG,45,45,0.00,down
59,Algeria,ALG,44,45,-1.00,down
60,Finland,FIN,42,43,-1.00,up
61,Israel,ISR,42,44,-2.00,down
62,Switzerland,SUI,41,42,-1.00,
63,Gabon,GAB,40,41,-1.00,up
64,El Salvador,SLV,40,40,0.00,up
65,Guinea,GUI,40,40,0.00,up
66,Canada,CAN,40,41,-1.00,down
67,Mozambique,MOZ,40,40,0.00,down
68,Iraq,IRQ,39,38,1.00,up
69,Georgia,GEO,39,39,0.00,up
70,Qatar,QAT,39,39,0.00,down
71,Nigeria,NGA,39,39,0.00,
72,Iceland,ISL,39,38,1.00,up
73,Honduras,HON,38,41,-3.00,down
74,Zimbabwe,ZIM,38,39,-1.00,down
75,Latvia,LVA,38,38,0.00,down
76,Zaire,ZAI,38,38,0.00,up
77,Hungary,HUN,37,37,0.00,up
78,Togo,TOG,37,38,-1.00,down
79,Uzbekistan,UZB,37,36,1.00,up
80,Mali,MLI,37,35,2.00,up
81,Oman,OMA,36,36,0.00,down
82,Cyprus,CYP,36,36,0.00,up
83,Guatemala,GUA,36,35,1.00,up
84,Sierra Leone,SLE,36,37,-1.00,down
85,Senegal,SEN,36,36,0.00,down
86,Namibia,NAM,35,35,0.00,down
87,Malaysia,MAS,35,35,0.00,
88,Cuba,CUB,34,34,0.00,up
89,Kenya,KEN,34,33,1.00,up
90,Lebanon,LBN,34,34,0.00,up
91,Indonesia,IDN,34,33,1.00,up
92,FYR Macedonia,MKD,34,35,-1.00,down
93,Northern Ireland,NIR,34,36,-2.00,down
94,Liberia,LBR,33,33,0.00,down
95,Slovenia,SVN,33,33,0.00,down
96,Tanzania,TAN,33,33,0.00,up
