pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,59,54,5.00,up
2,Italy,ITA,57,57,0.00,
3,Norway,NOR,57,54,3.00,up
4,Denmark,DEN,56,53,3.00,up
5,England,ENG,56,53,3.00,up
5,Germany,GER,56,58,-2.00,down
7,France,FRA,56,52,4.00,up
8,Russia,RUS,55,55,0.00,down
9,Republic of Ireland,IRL,55,55,0.00,down
10,Switzerland,SUI,55,57,-2.00,down
11,Sweden,SWE,55,56,-1.00,down
12,Argentina,ARG,55,56,-1.00,down
13,Netherlands,NED,53,50,3.00,up
14,Spain,ESP,53,51,2.00,down
15,Uruguay,URU,51,46,5.00,up
16,Mexico,MEX,51,50,1.00,down
17,Czechoslovakia,TCH,50,50,0.00,down
18,Nigeria,NGA,50,50,0.00,down
19,Colombia,COL,50,48,2.00,
20,Romania,ROU,48,47,1.00,up
21,Portugal,POR,47,46,1.00,up
22,Poland,POL,47,48,-1.00,down
23,Cameroon,CMR,46,45,1.00,up
24,Belgium,BEL,45,48,-3.00,down
25,Egypt,EGY,45,44,1.00,up
26,USA,USA,45,44,1.00,up
27,Zambia,ZAM,44,45,-1.00,down
28,Scotland,SCO,44,42,2.00,up
29,Wales,WAL,43,44,-1.00,down
30,Algeria,ALG,43,40,3.00,up
31,Côte d'Ivoire,CIV,43,43,0.00,down
32,Morocco,MAR,42,40,2.00,up
33,Austria,AUT,41,39,2.00,up
34,Tunisia,TUN,41,40,1.00,down
35,Greece,GRE,40,40,0.00,down
36,Korea Republic,KOR,39,40,-1.00,
37,Bulgaria,BUL,39,39,0.00,
38,Costa Rica,CRC,38,38,0.00,up
39,Honduras,HON,38,37,1.00,up
40,Northern Ireland,NIR,37,37,0.00,
41,Ecuador,ECU,37,40,-3.00,down
42,Ghana,GHA,37,34,3.00,up
43,Japan,JPN,35,35,0.00,
44,Saudi Arabia,KSA,34,34,0.00,
45,China PR,CHN,34,34,0.00,
46,Canada,CAN,34,34,0.00,
47,Zimbabwe,ZIM,34,33,1.00,up
48,Hungary,HUN,34,37,-3.00,down
49,Iceland,ISL,34,32,2.00,up
50,Finland,FIN,33,34,-1.00,down
51,Gabon,GAB,33,29,4.00,up
52,Chile,CHI,33,34,-1.00,down
53,Bolivia,BOL,32,31,1.00,up
54,Qatar,QAT,32,32,0.00,down
55,Paraguay,PAR,32,27,5.00,up
56,United Arab Emirates,UAE,31,31,0.00,down
57,Senegal,SEN,31,31,0.00,up
58,IR Iran,IRN,31,32,-1.00,down
59,Iraq,IRQ,30,31,-1.00,down
60,Guinea,GUI,30,28,2.00,up
61,Kuwait,KUW,30,30,0.00,down
62,Yugoslavia,YUG,30,31,-1.00,down
63,El Salvador,SLV,30,30,0.00,down
64,Korea DPR,PRK,30,30,0.00,down
65,Australia,AUS,29,32,-3.00,down
66,Turkey,TUR,27,29,-2.00,down
67,Thailand,THA,27,27,0.00,down
68,Malawi,MWI,27,27,0.00,
69,Zaire,ZAI,27,25,2.00,up
70,Mali,MLI,27,24,3.00,up
71,Israel,ISR,26,26,0.00,down
72,Kenya,KEN,25,17,8.00,up
73,Peru,PER,25,26,-1.00,down
74,Cyprus,CYP,25,25,0.00,down
75,Singapore,SIN,24,24,0.00,down
76,Jamaica,JAM,22,19,3.00,up
77,Malaysia,MAS,22,22,0.00,down
78,Bermuda,BER,22,22,0.00,down
79,Sierra Leone,SLE,21,18,3.00,up
80,Bahrain,BHR,21,21,0.00,down
81,Syria,SYR,21,21,0.00,down
82,Niger,NIG,21,21,0.00,down
83,Madagascar,MAD,20,21,-1.00,down
84,New Zealand,NZL,20,21,-1.00,down
85,Malta,MLT,19,19,0.00,down
86,Lithuania,LTU,19,19,0.00,down
87,Latvia,LVA,17,17,0.00,up
88,Trinidad and Tobago,TRI,17,18,-1.00,down
89,Jordan,JOR,17,17,0.00,down
90,Yemen,YEM,17,17,0.00,
91,Albania,ALB,17,15,2.00,up
92,Ethiopia,ETH,16,14,2.00,up
93,Eswatini,SWZ,16,12,4.00,up
94,Venezuela,VEN,16,14,2.00,
95,South Africa,RSA,16,11,5.00,up
96,Uganda,UGA,16,11,5.00,up
97,Angola,ANG,15,15,0.00,down
98,Burundi,BDI,14,14,0.00,down
99,Tanzania,TAN,14,15,-1.00,down
100,Oman,OMA,14,14,0.00,down
101,Congo,CGO,13,11,2.00,up
102,Indonesia,IDN,13,14,-1.00,down
103,Mozambique,MOZ,12,12,0.00,down
104,Togo,TOG,12,10,2.00,up
105,Puerto Rico,PUR,12,12,0.00,down
106,Hong Kong,HKG,11,12,-1.00,down
107,Myanmar,MYA,11,11,0.00,down
