pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,66,66,0.00,
2,Germany,GER,64,64,0.00,
3,Denmark,DEN,62,61,1.00,up
4,France,FRA,62,62,0.00,down
5,Spain,ESP,61,62,-1.00,down
6,Italy,ITA,61,60,1.00,up
7,Netherlands,NED,61,59,2.00,up
8,Czech Republic,CZE,60,61,-1.00,down
9,Romania,ROU,59,59,0.00,
10,Russia,RUS,59,58,1.00,up
11,Colombia,COL,58,60,-2.00,down
12,Mexico,MEX,58,57,1.00,
13,England,ENG,57,56,1.00,up
14,Bulgaria,BUL,56,56,0.00,down
15,Norway,NOR,56,54,2.00,up
16,Portugal,POR,55,55,0.00,down
17,Slovakia,SVK,54,53,1.00,up
18,Japan,JPN,54,54,0.00,down
19,Morocco,MAR,54,47,7.00,up
20,Sweden,SWE,54,54,0.00,down
21,Argentina,ARG,54,54,0.00,down
22,Paraguay,PAR,53,51,2.00,up
23,Zambia,ZAM,53,52,1.00,down
24,Tunisia,TUN,53,50,3.00,up
25,South Africa,RSA,53,51,2.00,
26,USA,USA,53,53,0.00,down
27,Chile,CHI,52,51,1.00,down
28,Croatia,CRO,52,50,2.00,
29,Scotland,SCO,51,51,0.00,down
30,Saudi Arabia,KSA,50,50,0.00,down
31,Belgium,BEL,49,47,2.00,up
32,Bolivia,BOL,49,48,1.00,
33,Egypt,EGY,49,47,2.00,up
34,Australia,AUS,49,48,1.00,down
35,Ghana,GHA,48,46,2.00,up
36,Korea Republic,KOR,48,48,0.00,down
37,Greece,GRE,47,50,-3.00,down
38,Jamaica,JAM,47,47,0.00,down
39,Peru,PER,47,45,2.00,up
40,Ecuador,ECU,47,48,-1.00,down
41,Cameroon,CMR,46,40,6.00,up
42,Turkey,TUR,46,49,-3.00,down
43,Israel,ISR,46,43,3.00,up
44,Republic of Ireland,IRL,45,46,-1.00,down
45,Honduras,HON,45,44,1.00,up
46,Austria,AUT,45,44,1.00,up
47,Trinidad and Tobago,TRI,45,45,0.00,down
48,Yugoslavia,YUG,45,44,1.00,down
49,Lithuania,LTU,45,43,2.00,up
50,Côte d'Ivoire,CIV,44,45,-1.00,down
51,Ukraine,UKR,43,44,-1.00,down
52,Canada,CAN,43,42,1.00,up
53,Costa Rica,CRC,43,41,2.00,up
54,Uruguay,URU,43,46,-3.00,down
55,Zimbabwe,ZIM,43,44,-1.00,down
56,Switzerland,SUI,43,43,0.00,down
57,Poland,POL,42,43,-1.00,down
58,Gabon,GAB,42,41,1.00,
59,Algeria,ALG,42,42,0.00,down
60,China PR,CHN,42,41,1.00,
61,Nigeria,NGA,41,36,5.00,up
62,Kuwait,KUW,41,38,3.00,up
63,Northern Ireland,NIR,40,40,0.00,
64,Thailand,THA,40,40,0.00,down
65,United Arab Emirates,UAE,40,37,3.00,up
66,Angola,ANG,40,35,5.00,up
67,Guinea,GUI,40,41,-1.00,down
68,Senegal,SEN,38,40,-2.00,down
69,Mali,MLI,38,39,-1.00,down
70,Zaire,ZAI,38,38,0.00,down
71,El Salvador,SLV,38,35,3.00,up
72,Finland,FIN,37,36,1.00,down
73,IR Iran,IRN,36,33,3.00,up
