pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,69,69,0.00,
2,Germany,GER,64,63,1.00,
3,France,FRA,61,58,3.00,up
4,Czech Republic,CZE,60,55,5.00,up
5,Italy,ITA,60,57,3.00,up
6,Netherlands,NED,60,54,6.00,up
7,Sweden,SWE,60,59,1.00,down
8,Spain,ESP,59,58,1.00,down
9,Russia,RUS,59,60,-1.00,down
10,Denmark,DEN,56,55,1.00,up
11,Portugal,POR,56,51,5.00,up
12,Colombia,COL,56,56,0.00,down
13,England,ENG,55,49,6.00,up
14,Mexico,MEX,54,54,0.00,down
15,Argentina,ARG,54,57,-3.00,down
16,Zambia,ZAM,53,53,0.00,down
17,USA,USA,53,53,0.00,down
18,South Africa,RSA,52,51,1.00,up
19,Bulgaria,BUL,52,47,5.00,up
20,Ghana,GHA,52,52,0.00,down
21,Tunisia,TUN,51,50,1.00,up
22,Croatia,CRO,51,48,3.00,up
23,Romania,ROU,51,52,-1.00,down
24,Norway,NOR,50,51,-1.00,down
25,Japan,JPN,50,48,2.00,up
26,Switzerland,SUI,50,50,0.00,down
27,Egypt,EGY,49,48,1.00,down
28,Côte d'Ivoire,CIV,48,49,-1.00,down
29,Chile,CHI,47,46,1.00,
30,Scotland,SCO,46,46,0.00,up
31,Turkey,TUR,46,46,0.00,down
32,Ecuador,ECU,46,43,3.00,up
33,Morocco,MAR,45,46,-1.00,
34,Trinidad and Tobago,TRI,45,38,7.00,up
35,Greece,GRE,45,45,0.00,
36,Bolivia,BOL,45,44,1.00,up
37,Slovakia,SVK,44,43,1.00,up
38,Uruguay,URU,44,46,-2.00,down
39,Cameroon,CMR,44,45,-1.00,down
40,Republic of Ireland,IRL,43,40,3.00,up
41,Saudi Arabia,KSA,43,44,-1.00,down
42,Austria,AUT,42,42,0.00,down
43,Belgium,BEL,42,42,0.00,down
44,Algeria,ALG,41,40,1.00,up
45,Jamaica,JAM,41,39,2.00,up
46,Gabon,GAB,40,38,2.00,up
47,Nigeria,NGA,40,41,-1.00,down
48,Israel,ISR,40,40,0.00,down
49,Honduras,HON,39,37,2.00,up
50,Poland,POL,38,41,-3.00,down
51,Senegal,SEN,37,36,1.00,up
52,Iceland,ISL,36,37,-1.00,
53,Korea Republic,KOR,36,38,-2.00,down
54,China PR,CHN,36,37,-1.00,up
55,Slovenia,SVN,36,36,0.00,up
56,Sierra Leone,SLE,36,37,-1.00,down
57,IR Iran,IRN,36,15,21.00,up
58,Zaire,ZAI,36,32,4.00,up
59,Australia,AUS,36,38,-2.00,down
60,Northern Ireland,NIR,36,34,2.00,
61,Thailand,THA,35,34,1.00,
62,Yugoslavia,YUG,35,29,6.00,up
63,Paraguay,PAR,35,33,2.00,down
64,Cuba,CUB,34,27,7.00,up
65,Lithuania,LTU,34,36,-2.00,down
66,Zimbabwe,ZIM,34,31,3.00,up
67,United Arab Emirates,UAE,34,32,2.00,
68,Tanzania,TAN,33,29,4.00,up
69,Mali,MLI,33,33,0.00,down
70,Wales,WAL,33,30,3.00,up
71,Angola,ANG,32,26,6.00,up
72,Canada,CAN,32,33,-1.00,down
73,Finland,FIN,32,35,-3.00,down
74,Kuwait,KUW,32,31,1.00,down
75,Guinea,GUI,31,28,3.00,up
76,El Salvador,SLV,31,31,0.00,down
77,Latvia,LVA,31,33,-2.00,down
78,Peru,PER,31,29,2.00,down
79,Mozambique,MOZ,30,29,1.00,down
80,Oman,OMA,30,19,11.00,up
81,Cyprus,CYP,29,29,0.00,down
82,St. Vincent and the Grenadines,VIN,29,27,2.00,up
83,Ukraine,UKR,29,30,-1.00,down
84,FYR Macedonia,MKD,28,26,2.00,
85,Georgia,GEO,28,29,-1.00,down
86,Qatar,QAT,27,27,0.00,down
87,Hungary,HUN,26,27,-1.00,down
88,Liberia,LBR,26,24,2.00,up
89,Lebanon,LBN,26,22,4.00,up
90,Uganda,UGA,26,26,0.00,down
91,Sudan,SDN,26,21,5.00,up
92,Belarus,BLR,25,25,0.00,down
93,Costa Rica,CRC,25,26,-1.00,down
94,Burkina Faso,BFA,25,18,7.00,up
95,Mauritania,MTN,25,23,2.00,down
96,Kenya,KEN,25,19,6.00,up
97,Togo,TOG,23,18,5.00,up
98,Barbados,BRB,23,17,6.00,up
99,Singapore,SIN,23,20,3.00,down
100,Malawi,MWI,22,17,5.00,up
101,Uzbekistan,UZB,22,20,2.00,up
102,Albania,ALB,22,23,-1.00,down
103,Congo,CGO,22,15,7.00,up
104,Haiti,HAI,21,11,10.00,up
105,Malaysia,MAS,21,21,0.00,down
106,Ethiopia,ETH,21,21,0.00,down
107,Malta,MLT,21,21,0.00,down
108,Guatemala,GUA,20,20,0.00,down
109,Gambia,GAM,20,15,5.00,up
109,Namibia,NAM,20,14,6.00,up
111,Myanmar,MYA,20,20,0.00,down
112,India,IND,19,20,-1.00,down
113,Niger,NIG,19,19,0.00,down
114,Luxembourg,LUX,19,20,-1.00,down
115,Moldova,MDA,19,18,1.00,down
