pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,66,66,0.00,
2,Germany,GER,64,64,0.00,
3,Spain,ESP,63,61,2.00,up
4,Denmark,DEN,62,62,0.00,down
5,France,FRA,60,62,-2.00,down
6,Romania,ROU,60,59,1.00,up
7,England,ENG,60,57,3.00,up
8,Russia,RUS,60,59,1.00,up
9,Italy,ITA,60,61,-1.00,down
10,Netherlands,NED,59,61,-2.00,down
11,Czech Republic,CZE,59,60,-1.00,down
12,Mexico,MEX,59,58,1.00,
13,Colombia,COL,58,58,0.00,down
14,Morocco,MAR,56,54,2.00,up
15,Norway,NOR,56,56,0.00,
16,Argentina,ARG,56,54,2.00,up
17,Japan,JPN,55,54,1.00,up
18,Zambia,ZAM,54,53,1.00,up
19,South Africa,RSA,54,53,1.00,up
20,Slovakia,SVK,54,54,0.00,down
21,Portugal,POR,54,55,-1.00,down
22,Scotland,SCO,54,51,3.00,up
23,Bulgaria,BUL,53,56,-3.00,down
24,Paraguay,PAR,53,53,0.00,down
25,Sweden,SWE,53,54,-1.00,down
26,USA,USA,52,53,-1.00,
27,Chile,CHI,52,52,0.00,
28,Tunisia,TUN,51,53,-2.00,down
29,Croatia,CRO,51,52,-1.00,down
30,Saudi Arabia,KSA,50,50,0.00,
31,Belgium,BEL,50,49,1.00,
32,Korea Republic,KOR,50,48,2.00,up
33,Australia,AUS,50,49,1.00,up
34,Bolivia,BOL,50,49,1.00,down
35,Yugoslavia,YUG,49,45,4.00,up
36,Ghana,GHA,48,48,0.00,down
37,Jamaica,JAM,48,47,1.00,up
38,Ecuador,ECU,48,47,1.00,up
39,Peru,PER,47,47,0.00,
40,Republic of Ireland,IRL,47,45,2.00,up
41,Greece,GRE,47,47,0.00,down
42,Egypt,EGY,47,49,-2.00,down
43,Austria,AUT,47,45,2.00,up
44,Turkey,TUR,46,46,0.00,down
45,Cameroon,CMR,46,46,0.00,down
46,Canada,CAN,45,43,2.00,up
47,Honduras,HON,45,45,0.00,down
48,Ukraine,UKR,45,43,2.00,up
49,Lithuania,LTU,45,45,0.00,
50,Israel,ISR,45,46,-1.00,down
51,Uruguay,URU,44,43,1.00,up
52,Côte d'Ivoire,CIV,44,44,0.00,down
53,Costa Rica,CRC,44,43,1.00,
54,Nigeria,NGA,44,41,3.00,up
55,Kuwait,KUW,43,41,2.00,up
56,IR Iran,IRN,43,36,7.00,up
57,Poland,POL,43,42,1.00,
58,China PR,CHN,43,42,1.00,up
59,Guinea,GUI,42,40,2.00,up
60,Algeria,ALG,42,42,0.00,down
61,Switzerland,SUI,42,43,-1.00,down
62,Zimbabwe,ZIM,41,43,-2.00,down
63,Angola,ANG,41,40,1.00,up
64,Gabon,GAB,41,42,-1.00,down
65,Trinidad and Tobago,TRI,41,45,-4.00,down
66,Thailand,THA,41,40,1.00,down
67,United Arab Emirates,UAE,40,40,0.00,down
68,Finland,FIN,40,37,3.00,up
69,Northern Ireland,NIR,39,40,-1.00,down
70,Senegal,SEN,39,38,1.00,down
71,Hungary,HUN,38,36,2.00,up
72,Mali,MLI,38,38,0.00,down
73,El Salvador,SLV,37,38,-1.00,down
