pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Germany,GER,57,0,57.00,
2,Italy,ITA,57,0,57.00,
3,Brazil,BRA,56,0,56.00,
4,Sweden,SWE,56,0,56.00,
5,England,ENG,55,0,55.00,
6,Republic of Ireland,IRL,54,0,54.00,
7,Netherlands,NED,54,0,54.00,
8,Russia,RUS,52,0,52.00,
9,Denmark,DEN,52,0,52.00,
10,Argentina,ARG,51,0,51.00,
11,Romania,ROU,51,0,51.00,
12,Switzerland,SUI,51,0,51.00,
13,Nigeria,NGA,50,0,50.00,
14,Norway,NOR,49,0,49.00,
15,Spain,ESP,49,0,49.00,
16,Uruguay,URU,48,0,48.00,
17,Belgium,BEL,48,0,48.00,
18,Czechoslovakia,TCH,47,0,47.00,
19,France,FRA,46,0,46.00,
20,Poland,POL,46,0,46.00,
21,Egypt,EGY,45,0,45.00,
22,Cameroon,CMR,43,0,43.00,
23,Scotland,SCO,43,0,43.00,
24,USA,USA,43,0,43.00,
25,Mexico,MEX,43,0,43.00,
26,Bulgaria,BUL,41,0,41.00,
27,Côte d'Ivoire,CIV,41,0,41.00,
28,Wales,WAL,40,0,40.00,
29,Yugoslavia,YUG,39,0,39.00,
30,Algeria,ALG,39,0,39.00,
31,Greece,GRE,38,0,38.00,
32,Zambia,ZAM,38,0,38.00,
33,Portugal,POR,38,0,38.00,
34,Austria,AUT,38,0,38.00,
35,Colombia,COL,36,0,36.00,
36,Hungary,HUN,36,0,36.00,
37,Costa Rica,CRC,35,0,35.00,
38,Tunisia,TUN,35,0,35.00,
39,Ghana,GHA,34,0,34.00,
40,Honduras,HON,32,0,32.00,
41,Morocco,MAR,32,0,32.00,
42,Turkey,TUR,31,0,31.00,
43,Northern Ireland,NIR,31,0,31.00,
44,Finland,FIN,31,0,31.00,
45,Australia,AUS,29,0,29.00,
46,Iceland,ISL,29,0,29.00,
47,Chile,CHI,28,0,28.00,
48,Saudi Arabia,KSA,28,0,28.00,
49,Korea Republic,KOR,28,0,28.00,
50,El Salvador,SLV,28,0,28.00,
51,Senegal,SEN,27,0,27.00,
52,Qatar,QAT,27,0,27.00,
53,Malawi,MWI,27,0,27.00,
54,Zimbabwe,ZIM,27,0,27.00,
55,Gabon,GAB,27,0,27.00,
56,China PR,CHN,26,0,26.00,
57,Canada,CAN,25,0,25.00,
58,Bermuda,BER,25,0,25.00,
59,United Arab Emirates,UAE,25,0,25.00,
60,Zaire,ZAI,25,0,25.00,
61,IR Iran,IRN,24,0,24.00,
62,Trinidad and Tobago,TRI,24,0,24.00,
63,Guinea,GUI,24,0,24.00,
64,Israel,ISR,23,0,23.00,
65,Ecuador,ECU,23,0,23.00,
66,Japan,JPN,22,0,22.00,
67,Jamaica,JAM,22,0,22.00,
68,Paraguay,PAR,22,0,22.00,
69,Mali,MLI,22,0,22.00,
70,New Zealand,NZL,22,0,22.00,
71,Kuwait,KUW,21,0,21.00,
72,Cyprus,CYP,20,0,20.00,
73,Malta,MLT,19,0,19.00,
74,Madagascar,MAD,18,0,18.00,
75,Thailand,THA,18,0,18.00,
76,Kenya,KEN,17,0,17.00,
77,Korea DPR,PRK,16,0,16.00,
78,Peru,PER,16,0,16.00,
79,Sierra Leone,SLE,16,0,16.00,
80,Tanzania,TAN,15,0,15.00,
81,Niger,NIG,15,0,15.00,
82,Iraq,IRQ,15,0,15.00,
83,Guatemala,GUA,15,0,15.00,
84,Liberia,LBR,15,0,15.00,
85,Ethiopia,ETH,14,0,14.00,
86,Albania,ALB,14,0,14.00,
87,Bolivia,BOL,14,0,14.00,
88,Bahrain,BHR,13,0,13.00,
89,Singapore,SIN,13,0,13.00,
90,Congo,CGO,13,0,13.00,
91,Malaysia,MAS,13,0,13.00,
92,Uganda,UGA,12,0,12.00,
93,Lithuania,LTU,12,0,12.00,
94,Faroe Islands,FRO,12,0,12.00,
95,Suriname,SUR,12,0,12.00,
96,Syria,SYR,11,0,11.00,
97,Burkina Faso,BFA,11,0,11.00,
99,Latvia,LVA,10,0,10.00,
100,Burundi,BDI,10,0,10.00,
101,Togo,TOG,10,0,10.00,
102,Angola,ANG,10,0,10.00,
103,Luxembourg,LUX,10,0,10.00,
104,Eswatini,SWZ,10,0,10.00,
105,St. Vincent and the Grenadines,VIN,9,0,9.00,
106,Fiji,FIJ,9,0,9.00,
107,Mozambique,MOZ,9,0,9.00,
108,Indonesia,IDN,9,0,9.00,
109,Antigua and Barbuda,ATG,8,0,8.00,
110,Jordan,JOR,8,0,8.00,
111,Sudan,SDN,7,0,7.00,
112,Mauritius,MRI,7,0,7.00,
113,Croatia,CRO,7,0,7.00,
114,Barbados,BRB,7,0,7.00,
115,Yemen,YEM,6,0,6.00,
116,Oman,OMA,6,0,6.00,
117,Guinea-Bissau,GNB,6,0,6.00,
118,St. Lucia,LCA,6,0,6.00,
119,Hong Kong,HKG,5,0,5.00,
120,Panama,PAN,5,0,5.00,
121,Grenada,GRN,5,0,5.00,
122,Puerto Rico,PUR,5,0,5.00,
123,Tahiti,TAH,5,0,5.00,
124,South Africa,RSA,5,0,5.00,
125,Venezuela,VEN,5,0,5.00,
126,San Marino,SMR,4,0,4.00,
127,Benin,BEN,4,0,4.00,
128,Guyana,GUY,4,0,4.00,
129,Ukraine,UKR,4,0,4.00,
130,Haiti,HAI,4,0,4.00,
131,Slovenia,SVN,3,0,3.00,
132,Estonia,EST,3,0,3.00,
133,Bangladesh,BAN,3,0,3.00,
134,Mauritania,MTN,3,0,3.00,
135,Cape Verde Islands,CPV,3,0,3.00,
136,Solomon Islands,SOL,2,0,2.00,
137,Libya,LBY,2,0,2.00,
139,Botswana,BOT,2,0,2.00,
140,Brunei Darussalam,BRU,2,0,2.00,
141,Dominican Republic,DOM,2,0,2.00,
142,Lesotho,LES,2,0,2.00,
143,India,IND,2,0,2.00,
144,Cuba,CUB,1,0,1.00,
145,Pakistan,PAK,1,0,1.00,
146,Belarus,BLR,1,0,1.00,
147,Seychelles,SEY,1,0,1.00,
148,Central African Republic,CTA,1,0,1.00,
149,Nepal,NEP,1,0,1.00,
150,Gambia,GAM,1,0,1.00,
