pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,Brazil,BRA,852,784,68.00,up
2,Argentina,ARG,784,784,0.00,up
3,France,FRA,784,802,-18.00,down
4,Spain,ESP,774,713,61.00,up
5,Germany,GER,765,695,70.00,up
6,Mexico,MEX,739,716,23.00,up
7,Portugal,POR,731,726,5.00,down
8,England,ENG,728,694,34.00,up
9,Colombia,COL,725,728,-3.00,down
10,Italy,ITA,720,717,3.00,down
11,USA,USA,712,690,22.00,up
12,Turkey,TUR,707,654,53.00,up
13,Denmark,DEN,704,657,47.00,up
14,Republic of Ireland,IRL,699,674,25.00,up
15,Netherlands,NED,697,703,-6.00,down
16,Yugoslavia,YUG,689,702,-13.00,down
17,Cameroon,CMR,680,672,8.00,
18,Paraguay,PAR,679,671,8.00,
19,Belgium,BEL,678,653,25.00,up
20,Sweden,SWE,674,665,9.00,down
21,Czech Republic,CZE,670,674,-4.00,down
22,Korea Republic,KOR,664,603,61.00,up
23,Uruguay,URU,662,652,10.00,up
24,Japan,JPN,658,634,24.00,up
25,Romania,ROU,657,675,-18.00,down
26,Costa Rica,CRC,656,643,13.00,up
27,Croatia,CRO,653,655,-2.00,down
28,Russia,RUS,644,644,0.00,
29,Nigeria,NGA,642,644,-2.00,down
30,Honduras,HON,640,647,-7.00,down
31,Ecuador,ECU,637,624,13.00,up
32,Senegal,SEN,637,599,38.00,up
33,IR Iran,IRN,634,635,-1.00,down
34,South Africa,RSA,634,623,11.00,up
35,Slovenia,SVN,632,649,-17.00,down
36,Tunisia,TUN,626,635,-9.00,down
37,Norway,NOR,625,631,-6.00,down
38,Saudi Arabia,KSA,623,627,-4.00,down
39,Poland,POL,621,615,6.00,down
40,Morocco,MAR,606,612,-6.00,down
41,Finland,FIN,601,600,1.00,
42,Trinidad and Tobago,TRI,601,624,-23.00,down
43,Ukraine,UKR,595,593,2.00,up
44,Egypt,EGY,591,598,-7.00,down
45,Chile,CHI,584,590,-6.00,
46,Slovakia,SVK,581,574,7.00,up
47,Côte d'Ivoire,CIV,566,580,-14.00,down
48,Peru,PER,563,578,-15.00,down
49,Greece,GRE,555,558,-3.00,up
50,Australia,AUS,552,575,-23.00,down
51,China PR,CHN,549,566,-17.00,down
52,Israel,ISR,547,563,-16.00,down
53,Iceland,ISL,544,553,-9.00,up
54,Bulgaria,BUL,542,557,-15.00,
55,Georgia,GEO,541,545,-4.00,up
56,Scotland,SCO,541,557,-16.00,down
57,Ghana,GHA,537,558,-21.00,down
58,Austria,AUT,533,543,-10.00,up
59,Jamaica,JAM,533,549,-16.00,down
60,Angola,ANG,531,545,-14.00,down
61,United Arab Emirates,UAE,528,536,-8.00,up
62,Thailand,THA,527,544,-17.00,down
63,Zimbabwe,ZIM,524,527,-3.00,up
64,Switzerland,SUI,518,531,-13.00,
65,Guatemala,GUA,517,538,-21.00,down
66,Zambia,ZAM,513,530,-17.00,down
67,Hungary,HUN,511,523,-12.00,up
68,Canada,CAN,507,504,3.00,up
69,Iraq,IRQ,507,509,-2.00,up
70,Qatar,QAT,507,507,0.00,up
71,Uzbekistan,UZB,507,523,-16.00,down
72,Togo,TOG,502,518,-16.00,down
73,Bosnia and Herzegovina,BIH,497,508,-11.00,down
74,Bolivia,BOL,496,512,-16.00,down
75,Kuwait,KUW,494,500,-6.00,up
76,Congo DR,COD,493,505,-12.00,down
77,Burkina Faso,BFA,491,497,-6.00,up
78,Liberia,LBR,491,500,-9.00,down
79,Algeria,ALG,490,497,-7.00,
80,Cuba,CUB,489,498,-9.00,down
81,Venezuela,VEN,487,488,-1.00,up
82,Cyprus,CYP,486,492,-6.00,
83,Belarus,BLR,481,463,18.00,up
84,Haiti,HAI,479,496,-17.00,down
85,Estonia,EST,478,471,7.00,up
86,Mali,MLI,471,471,0.00,down
87,El Salvador,SLV,455,480,-25.00,down
88,New Zealand,NZL,452,471,-19.00,down
89,Northern Ireland,NIR,448,455,-7.00,up
90,FYR Macedonia,MKD,447,462,-15.00,down
91,Oman,OMA,446,454,-8.00,
92,Wales,WAL,446,440,6.00,up
93,Indonesia,IDN,441,453,-12.00,down
94,Syria,SYR,438,449,-11.00,down
95,Albania,ALB,437,442,-5.00,
96,Latvia,LVA,433,435,-2.00,up
97,Lebanon,LBN,429,445,-16.00,down
98,Congo,CGO,427,439,-12.00,down
99,Jordan,JOR,427,434,-7.00,up
100,Lithuania,LTU,427,436,-9.00,down
101,Armenia,ARM,426,433,-7.00,
102,Kazakhstan,KAZ,418,429,-11.00,
103,Moldova,MDA,415,425,-10.00,
104,Kenya,KEN,414,418,-4.00,up
105,Bahrain,BHR,409,409,0.00,up
106,Gabon,GAB,409,422,-13.00,down
107,Namibia,NAM,409,422,-13.00,down
108,Vietnam,VIE,405,417,-12.00,down
109,Barbados,BRB,396,407,-11.00,
110,Guinea,GUI,388,399,-11.00,
111,Malaysia,MAS,378,384,-6.00,up
112,Panama,PAN,378,388,-10.00,down
113,Singapore,SIN,378,381,-3.00,
114,Malawi,MWI,377,353,24.00,up
