pos,team,iso-alfa-3,total_points,previous_points,variation,positions
1,France,FRA,812,811,1.00,
2,Argentina,ARG,802,798,4.00,
3,Brazil,BRA,793,797,-4.00,
4,Portugal,POR,741,741,0.00,
5,Colombia,COL,739,736,3.00,
6,Italy,ITA,734,735,-1.00,
7,Spain,ESP,730,731,-1.00,
8,Netherlands,NED,722,722,0.00,
9,Mexico,MEX,714,713,1.00,
10,England,ENG,712,712,0.00,
11,Yugoslavia,YUG,710,709,1.00,up
12,Germany,GER,707,710,-3.00,down
13,Paraguay,PAR,691,694,-3.00,up
14,Czech Republic,CZE,689,699,-10.00,down
15,Romania,ROU,688,687,1.00,
16,Sweden,SWE,676,676,0.00,
17,Republic of Ireland,IRL,672,672,0.00,up
18,Denmark,DEN,672,675,-3.00,down
19,Croatia,CRO,668,671,-3.00,
20,Belgium,BEL,666,666,0.00,
21,Russia,RUS,665,664,1.00,up
22,Uruguay,URU,664,656,8.00,up
23,Turkey,TUR,663,660,3.00,
24,USA,USA,662,666,-4.00,down
25,Slovenia,SVN,650,648,2.00,up
26,Norway,NOR,650,654,-4.00,down
27,Honduras,HON,650,650,0.00,down
28,Tunisia,TUN,648,647,1.00,
29,IR Iran,IRN,642,640,2.00,
30,Costa Rica,CRC,635,629,6.00,up
31,Saudi Arabia,KSA,632,632,0.00,down
32,Trinidad and Tobago,TRI,630,629,1.00,
33,Poland,POL,629,628,1.00,
34,Japan,JPN,626,623,3.00,up
35,South Africa,RSA,626,625,1.00,down
36,Morocco,MAR,623,620,3.00,
37,Ecuador,ECU,613,610,3.00,
38,Cameroon,CMR,609,609,0.00,
39,Chile,CHI,604,608,-4.00,
40,Nigeria,NGA,604,602,2.00,
41,Egypt,EGY,602,601,1.00,
42,Korea Republic,KOR,599,596,3.00,up
43,Peru,PER,598,598,0.00,down
44,Côte d'Ivoire,CIV,596,593,3.00,up
45,Ukraine,UKR,593,595,-2.00,down
46,Finland,FIN,588,585,3.00,up
47,Slovakia,SVK,588,595,-7.00,down
48,Australia,AUS,586,581,5.00,up
49,Israel,ISR,583,585,-2.00,down
50,Scotland,SCO,577,584,-7.00,down
51,Bulgaria,BUL,576,576,0.00,
52,Iceland,ISL,569,569,0.00,up
53,Jamaica,JAM,567,570,-3.00,down
54,China PR,CHN,565,561,4.00,up
55,Angola,ANG,564,563,1.00,down
56,Austria,AUT,558,561,-3.00,
57,Greece,GRE,556,560,-4.00,
58,Georgia,GEO,552,552,0.00,up
59,Ghana,GHA,551,553,-2.00,down
60,United Arab Emirates,UAE,549,548,1.00,
61,Thailand,THA,544,544,0.00,
62,Uzbekistan,UZB,542,542,0.00,
63,Switzerland,SUI,540,539,1.00,up
64,Zambia,ZAM,540,541,-1.00,down
65,Senegal,SEN,539,535,4.00,up
66,Hungary,HUN,537,540,-3.00,down
67,Guatemala,GUA,536,536,0.00,down
68,Zimbabwe,ZIM,533,533,0.00,
69,Bosnia and Herzegovina,BIH,522,522,0.00,up
70,Bolivia,BOL,522,522,0.00,
71,Togo,TOG,522,527,-5.00,down
72,Iraq,IRQ,515,513,2.00,
73,Liberia,LBR,515,512,3.00,
74,Kuwait,KUW,512,512,0.00,
75,Algeria,ALG,510,510,0.00,
76,Cuba,CUB,509,509,0.00,
